id_cliente;nome;sexo;cpf;data_nascimento;email;telefone;cep;logradouro;numero;complemento;bairro;cidade;estado;pais;renda_mensal;data_cadastro;ativo
39;Pedro Henrique Rios;M;105.736.249-25;1976-12-12;jgomes@example.net;+55 (061) 1615-3006;91345949;Lagoa Nascimento;9851;Sala 3;Conjunto Minas Caixa;Novaes de Aparecida;MA;Brasil;24303.26;2023-07-28;False
40;Mathias Alves;M;180.257.643-62;1948-01-31;cmoreira@example.org;(011) 4586 4928;39763024;Vale Melina Aragão;860;Casa;Mala E Cuia;Moreira do Norte;DF;Brasil;21748.71;2025-03-21;False
41;Maria Clara Sales;F;598.642.037-38;2006-10-08;thomas38@example.net;(071) 3748 8935;95657-709;Via de Brito;5170;Casa;São Lucas;Novaes Grande;PI;Brasil;6589.97;2023-08-10;False
42;Ana Lívia da Mota;F;418.732.695-28;1993-01-25;pirespaulo@example.com;+55 11 6160 7283;38220082;Feira Fernandes;3154;Apto 101;Aparecida 7ª Seção;Mendes;SE;Brasil;10485.8;2024-05-15;True
43;Ester Duarte;F;026.149.835-51;1997-08-06;almeidafelipe@example.com;+55 (021) 7867-0031;06338149;Passarela Martins;6150;Sala 3;Vila São Rafael;Mendes de das Neves;AP;Brasil;7738.76;2022-04-04;True
44;Raquel Souza;F;316.248.957-19;1954-03-16;gustavo06@example.net;+55 21 7848 5579;85026667;Lago de das Neves;6038;;Vila Santo Antônio Barroquinha;Moraes do Amparo;ES;Brasil;23159.55;2026-01-17;True
45;Maitê Ribeiro;F;614.285.037-90;1984-04-03;csilveira@example.com;+55 (061) 7500-7041;82524-212;Campo de Fonseca;8239;Sala 3;Lourdes;Moreira do Oeste;RN;Brasil;9072.5;2024-05-08;False
46;Leonardo Cunha;M;814.629.370-04;1951-09-13;camaramaria-fernanda@example.org;+55 31 2691-5614;08325845;Trecho Camila Leão;9601;Bloco B;Vila Barragem Santa Lúcia;da Mata de Moreira;AP;Brasil;8515.08;2021-04-12;False
47;Laís Aragão;F;346.125.908-05;1956-09-29;ana-luiza36@example.com;51 4888 5458;05027020;Conjunto Costela;3976;Bloco B;Etelvina Carneiro;Castro de Brito;SE;Brasil;7748.99;2023-02-07;False
48;Sofia Aparecida;F;082.159.374-97;1986-10-24;maysacirino@example.org;+55 11 7531 9665;90008-498;Recanto de da Mata;4071;Bloco B;Antonio Ribeiro De Abreu 1ª Seção;Sales de Peixoto;SE;Brasil;13273.4;2025-08-26;False
49;Maria Helena Siqueira;F;058.132.497-88;1973-01-02;cavalcantilivia@example.org;(071) 7826-6959;85559-485;Largo de Moreira;800;Apto 101;Ipe;Sá do Oeste;SP;Brasil;4398.48;2025-12-02;False
50;Ana Sousa;F;251.643.907-52;1967-01-22;da-luzliam@example.net;+55 84 5074-1852;00961-894;Via Carvalho;2161;Bloco B;Suzana;da Cunha;PR;Brasil;14074.98;2021-11-01;False
51;Dr. Antony Abreu;M;759.804.326-47;1989-01-01;rhavi51@example.net;(021) 9663 4215;49435-127;Colônia de da Rosa;5339;Casa;Concórdia;Pacheco;MG;Brasil;22451.02;2021-10-19;True
52;Calebe Ramos;M;376.081.249-03;1949-12-07;giovannateixeira@example.com;(084) 9736-5671;74327-878;Lagoa Anthony Gabriel Marques;7593;Sala 3;São Gonçalo;Mendonça Verde;AM;Brasil;22640.19;2023-12-19;False
53;Brayan Pastor;M;408.756.293-00;1981-05-10;casa-grandemirella@example.org;+55 (084) 7175-1157;11305204;Estrada Dias;5254;Bloco B;Biquinhas;Monteiro de Minas;AM;Brasil;6848.06;2022-12-16;True
54;Dra. Lívia Teixeira;F;679.102.534-43;1964-06-23;carvalhobryan@example.com;41 6264 5695;72746550;Núcleo Yago da Luz;4671;Apto 101;Nazare;da Cruz;AM;Brasil;24892.61;2024-06-04;False
55;Cecilia Nascimento;F;327.841.956-19;1978-12-06;rael75@example.com;0800 149 1938;09233617;Travessa Nogueira;712;Sala 3;São Jorge 2ª Seção;Silveira de Porto;MT;Brasil;1804.8;2022-04-24;True
56;Dr. Yago Aragão;M;593.280.716-40;1970-08-25;maysaaparecida@example.net;+55 84 9224-1167;23937-909;Aeroporto de Rodrigues;764;Casa;Vila Califórnia;Pacheco;PA;Brasil;13832.15;2024-12-26;True
57;Ana Cassiano;F;714.895.260-30;1973-07-13;samuelda-mata@example.net;+55 51 0581 0749;19126264;Estação de Nascimento;8190;Bloco B;Marieta 1ª Seção;Duarte;RR;Brasil;6767.21;2025-09-16;True
58;Anthony Rezende;M;250.631.978-68;2002-02-12;nfogaca@example.net;+55 84 3989 6809;06170-368;Colônia Sá;7254;Sala 3;Jaqueline;da Mota de Vasconcelos;TO;Brasil;14306.59;2022-09-04;False
59;José Duarte;M;429.103.587-04;1977-05-13;alvesana-liz@example.net;(071) 6328 0237;08233295;Feira Pinto;8532;;Carlos Prates;Santos;PE;Brasil;16433.97;2023-08-06;False
60;Ana Beatriz Cunha;F;714.082.563-71;1973-10-20;icunha@example.net;+55 41 0759 6104;62339218;Pátio Pastor;7350;;Vila Nova Cachoeirinha 1ª Seção;Ferreira de Minas;AM;Brasil;2913.57;2025-12-30;False
61;Mirella Brito;F;345.617.028-90;1975-07-08;lorenamoura@example.org;+55 31 7228 6717;70316084;Feira Montenegro;8476;Casa;Conjunto Novo Dom Bosco;Silva;RJ;Brasil;5115.42;2025-02-25;True
62;Vicente Pimenta;M;632.179.854-19;1985-01-28;arthur-miguelcavalcanti@example.org;+55 (084) 3211-0728;63973860;Alameda Barbosa;3468;Apto 101;Mariquinhas;Siqueira do Amparo;BA;Brasil;24351.34;2022-06-24;True
63;Sr. Matheus Aragão;M;853.417.692-28;1995-07-19;britorafaela@example.net;21 8836-4426;03444-587;Viela Andrade;1204;Bloco B;Ápia;Rezende;AM;Brasil;23287.75;2024-05-14;True
64;Maria Eduarda Barros;F;921.785.063-21;1977-02-12;ana-carolinamacedo@example.org;(051) 7731-2619;45186461;Ladeira de Montenegro;5275;Sala 3;Nossa Senhora Da Conceição;Cassiano;PR;Brasil;2203.82;2024-09-22;True
65;Ayla Aparecida;F;468.379.215-09;2001-04-23;hcavalcante@example.org;+55 (081) 0005-3067;65468-840;Feira de Cassiano;4775;Apto 101;Vila Real 2ª Seção;Cardoso;RJ;Brasil;8648.34;2024-12-08;False
66;Alana Andrade;F;246.590.873-10;2000-08-23;marcela18@example.net;81 6488 1053;08504-162;Praça Fernandes;3474;Sala 3;Califórnia;Vasconcelos;PB;Brasil;2110.21;2023-06-19;False
67;Dr. Anthony Gabriel da Rosa;M;749.850.623-83;1990-06-13;alvespedro-lucas@example.com;+55 31 4633 6117;16373-282;Trevo Brito;7634;Apto 101;Mineirão;Vasconcelos;PI;Brasil;11235.78;2023-02-12;False
68;Joana Andrade;F;124.596.837-82;1982-03-14;anthony28@example.net;21 3934 6078;81095-460;Condomínio Ribeiro;9183;Apto 101;Jaraguá;Silva de Minas;CE;Brasil;10667.04;2024-05-16;False
69;Arthur Almeida;M;071.269.348-31;1975-04-16;yviana@example.org;(011) 3164-2855;55426520;Alameda Jesus;4699;Apto 101;Vila Olhos D'água;Nunes;RN;Brasil;12677.67;2021-03-30;True
70;Carlos Eduardo Guerra;M;062.439.587-10;1995-10-21;camargogabriela@example.org;+55 31 3464-5783;66679-997;Esplanada Gomes;1999;Bloco B;Conjunto Paulo Vi;da Mata;PB;Brasil;23272.09;2021-12-27;False
71;José Miguel Sampaio;M;408.517.629-30;2004-08-18;cecilia33@example.com;+55 71 1736-9172;20336969;Viaduto de Martins;7292;Sala 3;Vila Havaí;Correia;RN;Brasil;9795.64;2026-01-12;False
72;Yan da Mata;M;705.431.269-43;1955-04-18;arthurmendes@example.com;(061) 4477-0038;34256428;Largo Silva;6400;;Vila Paraíso;Moura da Praia;SC;Brasil;3984.58;2022-05-01;True
73;Lívia Jesus;F;479.301.265-52;1954-07-12;fonsecavitor-hugo@example.com;+55 (051) 2066-5133;54231812;Parque Borges;1357;Apto 101;Vila Ecológica;Sampaio de Cavalcante;RR;Brasil;24041.81;2024-12-09;True
74;Mariana Sá;F;407.893.152-97;1962-08-08;maria-juliadas-neves@example.org;+55 (031) 7397-5256;52846-174;Via da Paz;2067;Bloco B;Madre Gertrudes;Cirino;MA;Brasil;4803.45;2021-07-01;True
75;Nicolas Ramos;M;351.746.820-71;1953-03-06;nsouza@example.net;+55 (084) 6210-6292;16716-164;Quadra de da Rocha;1415;Casa;Grota;Correia de Melo;MS;Brasil;2258.84;2021-02-24;True
76;Asafe Nascimento;M;814.067.953-48;1984-03-01;maria09@example.net;0800 476 0874;97180775;Estrada Peixoto;7498;Bloco B;Boa União 1ª Seção;Mendonça;AC;Brasil;23518.56;2021-06-05;False
77;Levi Freitas;M;784.159.206-01;1985-01-06;rrocha@example.org;+55 (071) 2856-1969;43246-827;Núcleo Pimenta;924;Apto 101;São Geraldo;Marques de Albuquerque;RR;Brasil;4188.08;2024-10-10;True
78;Anthony Gabriel Monteiro;M;613.029.874-96;1948-07-18;costelaana-vitoria@example.net;+55 11 8079 4357;18359-980;Via Vargas;675;Casa;Vila São Gabriel;Macedo;DF;Brasil;11827.65;2022-09-05;True
79;Enzo Pinto;M;150.429.736-99;1946-10-16;dda-cunha@example.org;84 0751-1607;11315-849;Via Sampaio;3853;Bloco B;São Tomaz;Cunha;DF;Brasil;9524.25;2023-08-14;True
80;Calebe da Conceição;M;837.940.526-92;1982-01-05;cavalcanteluna@example.net;51 0637 1177;26550454;Vale Sá;157;Casa;Vila Real 1ª Seção;Mendonça;PR;Brasil;9193.48;2022-03-08;False
81;Dra. Olívia Pimenta;F;801.265.374-53;2004-02-21;leodias@example.org;(031) 1243-2397;64143447;Esplanada de Rios;3751;;Beira Linha;Viana de Teixeira;CE;Brasil;2861.95;2023-09-24;True
82;Lucas Gabriel Vieira;M;462.135.897-91;1995-03-17;garciamariane@example.net;0800 918 4042;20251-294;Recanto Cassiano;4091;Casa;Vila Piratininga Venda Nova;Rodrigues;MS;Brasil;7010.12;2025-09-15;True
83;Vitória Peixoto;F;751.062.934-99;1986-06-17;galves@example.net;41 3756 8906;94857-618;Lagoa Luísa Cirino;6896;Sala 3;São Geraldo;Brito;PE;Brasil;10142.0;2025-09-12;True
84;Júlia Fogaça;F;956.803.271-12;1957-03-10;luna61@example.net;(031) 1503-8766;08821-229;Quadra Maria Liz Machado;545;Sala 3;Vila Nova Cachoeirinha 1ª Seção;Jesus de Melo;PI;Brasil;8299.23;2021-12-15;False
85;Juan Novais;M;839.127.465-91;1989-08-18;salbuquerque@example.net;31 7104 6866;39506995;Pátio de Pinto;5744;Sala 3;Grajaú;Câmara da Mata;CE;Brasil;19333.01;2022-07-06;False
86;Antônio Cardoso;M;413.807.295-05;1963-12-12;heitorcassiano@example.com;(021) 3124-8949;09694610;Chácara Caldeira;6202;Apto 101;Vila Independencia 2ª Seção;Rezende;SC;Brasil;15835.22;2025-04-19;False
87;Dr. Josué Carvalho;M;412.680.573-71;2006-02-27;camargogael-henrique@example.net;+55 84 5282 5086;96231-937;Distrito de Lima;9771;Sala 3;Zilah Sposito;Pimenta do Campo;PB;Brasil;6170.05;2025-02-05;True
88;Gustavo Correia;M;206.743.159-52;2003-03-05;helenamarques@example.com;(011) 3233-5015;06523768;Sítio Montenegro;3365;Casa;Saudade;Martins;PR;Brasil;11543.23;2023-05-28;False
89;Srta. Alexia Ferreira;F;493.180.267-22;1951-10-12;camaraemilly@example.com;0800 855 1887;58031-893;Condomínio Barros;9058;Sala 3;Biquinhas;Garcia das Pedras;AC;Brasil;5338.86;2023-07-18;True
90;Sra. Maria Eduarda Rezende;F;913.785.246-91;1975-06-20;natalia76@example.com;21 6648 5548;72023738;Núcleo de Porto;510;Apto 101;Grota;Lima;RO;Brasil;19832.34;2021-12-19;False
91;Calebe Macedo;M;846.230.751-17;1959-04-05;viniciusvargas@example.net;+55 (071) 9557-5529;13091301;Recanto Dante Barbosa;1652;Apto 101;Vila Maria;da Costa;SC;Brasil;24997.96;2024-04-08;True
92;Maysa Porto;F;261.058.497-02;1968-01-03;guilherme54@example.net;(071) 5872 4710;84702-041;Parque de Campos;1987;;São Tomaz;Cunha da Prata;ES;Brasil;9986.09;2022-03-16;False
93;Valentina Silva;F;471.895.306-57;1982-03-03;ugarcia@example.com;0800 977 9089;20138-634;Fazenda Dante Castro;2132;Casa;Gameleira;Pastor de da Cunha;MG;Brasil;11152.57;2025-02-07;False
94;Ravi Gomes;M;035.624.897-65;1994-01-06;marcos-vinicius18@example.net;+55 (031) 7502 9002;87544625;Estação Brito;8765;;Conjunto Califórnia Ii;Cavalcanti de Moura;AC;Brasil;24416.29;2024-09-25;False
95;Maitê Silveira;F;420.768.139-69;1959-04-23;bbarbosa@example.com;+55 11 6285 2068;11377-043;Vila de Dias;5054;Bloco B;Marieta 1ª Seção;Viana da Prata;PB;Brasil;23983.54;2022-09-18;True
96;Mathias da Luz;M;372.804.659-00;1995-09-28;sofia41@example.com;(081) 2612 3508;14141-653;Avenida de Aragão;1856;Sala 3;João Alfredo;Vieira;TO;Brasil;3871.77;2021-12-29;False
97;Sabrina Moraes;F;739.286.054-29;1993-01-15;diegofernandes@example.com;(071) 5800 6346;39043212;Parque da Cunha;5879;Apto 101;Maria Tereza;Oliveira;SE;Brasil;20776.58;2022-12-19;True
98;Sara Novaes;F;106.824.573-53;2006-11-12;mateus58@example.org;+55 41 0607-4871;69331-971;Chácara da Mata;6;Bloco B;Lagoinha;da Luz do Norte;PR;Brasil;6426.91;2021-12-02;True
99;Clarice Barros;F;056.732.941-07;1997-11-22;cecilia42@example.net;+55 (011) 3784 4463;10503-471;Vereda de Pereira;2125;;Chácara Leonina;Castro do Campo;AC;Brasil;5604.32;2022-06-03;False
100;Alice Azevedo;F;406.137.985-20;2002-04-02;castroalexia@example.org;11 0382-0191;44379-952;Núcleo Dias;2755;Bloco B;Vila Independencia 2ª Seção;Montenegro;ES;Brasil;20959.59;2023-01-15;True
101;Sr. Ravi Sá;M;251.906.387-40;1962-02-27;pedro-henriqueazevedo@example.com;11 3952 9525;28934-657;Distrito Lunna Fernandes;2000;Sala 3;Monte São José;Andrade;AP;Brasil;10751.68;2023-07-22;True
102;Felipe Nascimento;M;487.650.123-80;1954-08-20;vasconceloslivia@example.com;(051) 6196 3615;28318074;Loteamento da Paz;5085;Casa;Maria Virgínia;Fernandes da Praia;PB;Brasil;15539.99;2022-05-18;False
103;Ravi Lucca da Cunha;M;793.856.012-02;1953-02-21;andradedaniel@example.com;(031) 5973 7827;93258727;Estrada Maria Alice Gomes;2381;Casa;Vila Suzana Primeira Seção;Lopes de Casa Grande;SP;Brasil;8194.8;2022-12-18;True
104;Isis da Conceição;F;572.149.863-37;1991-04-27;hellenadas-neves@example.net;+55 71 9847-3938;48041802;Trevo de Andrade;3473;Bloco B;Dom Cabral;Ribeiro;SE;Brasil;2556.72;2022-08-14;True
105;Kevin Garcia;M;067.589.342-92;2008-02-12;bmarques@example.org;(084) 9856-4415;78305712;Conjunto Brito;2788;;Serrano;Aparecida de Minas;AC;Brasil;14422.17;2024-11-16;True
106;Mariana Gonçalves;F;109.527.483-04;2005-03-24;valentinapimenta@example.com;(051) 7521-6567;22137640;Vereda de da Rosa;9475;Apto 101;Minaslandia;Fogaça de Siqueira;GO;Brasil;10916.89;2023-04-29;False
107;Maria Júlia Porto;F;380.165.947-00;1985-01-12;maria-eduarda48@example.net;+55 11 2385-9519;95080492;Rodovia de Almeida;1223;Apto 101;Céu Azul;Sales;AL;Brasil;3607.74;2025-11-14;True
108;Olivia Martins;F;657.280.391-03;1958-03-29;nunesalana@example.org;0500 754 2812;81707-702;Colônia Esther Castro;512;Apto 101;Vila Nossa Senhora Do Rosário;Machado Paulista;RO;Brasil;17367.37;2025-11-24;True
109;Luigi Gomes;M;067.453.291-07;1997-02-18;enrico73@example.net;71 4932-2460;59109-385;Praça Barbosa;832;Bloco B;Sport Club;Castro do Amparo;SE;Brasil;20233.55;2024-07-10;False
110;Esther Freitas;F;745.831.092-88;2007-11-14;sampaiojose-pedro@example.org;+55 (041) 9604 3181;11586442;Largo de Rocha;5469;Apto 101;Lagoinha Leblon;Santos;MT;Brasil;16608.67;2021-03-20;False
111;Maria Eduarda Novaes;F;123.574.690-99;2000-02-18;luiz-miguelsa@example.org;11 8921 8023;17379-089;Aeroporto Ana Cecília Marques;1703;;Mineirão;Cavalcanti;TO;Brasil;2522.37;2024-03-03;True
112;Rhavi Albuquerque;M;038.715.694-10;1978-05-18;bentoaraujo@example.com;0300-078-4755;52999284;Esplanada de Marques;9564;Casa;Conjunto Califórnia Ii;da Rocha de Minas;ES;Brasil;10072.58;2023-03-09;False
113;Ana Carolina Azevedo;F;974.315.862-64;1985-01-20;miguelrocha@example.com;+55 (081) 3763-1519;99990582;Largo de Fogaça;4648;Bloco B;Pilar;Cavalcante;SP;Brasil;21347.82;2025-12-12;True
114;Anthony Gabriel Pires;M;416.730.598-48;2004-07-28;cirinoisabelly@example.org;11 2834 6903;75213338;Lagoa Rios;9509;Sala 3;Pilar;Fonseca;AC;Brasil;18167.26;2024-06-17;True
115;Sra. Maria Sophia Rodrigues;F;612.435.087-44;1995-09-12;marquesmariana@example.net;(084) 8795-6289;95326-616;Viela de Sousa;4036;Sala 3;Dona Clara;Marques do Amparo;SC;Brasil;12765.92;2021-09-21;False
116;Ana Lívia Costela;F;204.316.598-42;1990-07-13;jose-pedrocarvalho@example.net;+55 (084) 5287 7215;81591960;Parque de Nascimento;7626;Casa;São José;Farias de Minas;AC;Brasil;16725.42;2025-02-25;False
117;Raquel Mendes;F;610.827.493-03;2001-08-14;jmontenegro@example.net;61 7040 4648;09986447;Núcleo de Mendes;3256;Apto 101;Vila Atila De Paiva;Lopes do Norte;PE;Brasil;2432.41;2025-05-12;True
118;José Oliveira;M;514.703.926-07;1961-04-06;aliciacavalcante@example.org;0800-057-6948;17228-035;Rodovia Brayan Moura;8042;Casa;Vila Vista Alegre;Almeida;TO;Brasil;19227.44;2025-06-17;True
119;Carlos Eduardo Aragão;M;083.925.146-70;1963-10-04;breno54@example.org;+55 81 2625 0800;16505-720;Lago de Araújo;1194;Apto 101;Vila Nova Paraíso;Gonçalves do Amparo;DF;Brasil;14984.72;2024-01-19;True
120;Gael Henrique Rezende;M;950.781.326-86;2002-06-16;antonyaragao@example.org;+55 51 2624 0104;12300-088;Condomínio de Mendonça;7998;Sala 3;Mangueiras;Alves do Sul;SP;Brasil;19264.92;2022-04-15;False
121;Srta. Olivia Nunes;F;840.936.175-20;1969-03-11;ana-beatriz92@example.net;41 5923-4644;18888-882;Passarela de Guerra;5166;Sala 3;Salgado Filho;Pastor;RO;Brasil;16343.29;2022-07-16;False
122;Natália Pinto;F;407.529.613-06;2007-10-05;natalia27@example.org;+55 61 9193 7240;51282642;Aeroporto Lucas Campos;5536;Bloco B;Conjunto Taquaril;Fogaça Verde;AM;Brasil;5646.7;2025-04-08;True
123;Sr. Theo Mendonça;M;142.570.389-50;1992-08-20;andreda-cunha@example.com;11 2858-7992;43431128;Residencial Gael Nunes;8451;Apto 101;Nova Vista;Barbosa da Mata;AP;Brasil;10171.85;2024-11-08;True
